comparison,construct,membership,metric,family_id,mean,positive_fraction,pairs,studies,remaining_families,mean_without_family
Other group discussions,policy,paired,h,diplomacy_2020,0.09586914506708956,0.6545454545454545,55,1,6,-0.007116048883537969
Other group discussions,policy,paired,p,diplomacy_2020,0.017045454545454534,0.36363636363636365,44,1,6,-0.00701865810235826
Other group discussions,policy,paired,p_absolute,diplomacy_2020,0.06666666666666667,0.509090909090909,55,1,6,0.01733003855581245
Other group discussions,policy,paired,d_gender,diplomacy_2020,-0.026960784313725474,0.2647058823529412,34,1,5,-0.008014624402121067
Other group discussions,policy,paired,d_gender,echo_2021,-0.012783767595088348,0.42452830188679247,318,1,5,-0.010850027745848494
Other group discussions,policy,paired,h,echo_2021,0.030563999599633192,0.6522988505747126,348,1,6,0.0037681420277047586
Other group discussions,policy,paired,p,echo_2021,0.027994913098770672,0.6023738872403561,337,1,6,-0.008843567861244283
Other group discussions,policy,paired,p_absolute,echo_2021,0.039562465790914075,0.6551724137931034,348,1,6,0.02184740536843788
Other group discussions,policy,paired,h,hongkong_2020,-0.09247614723523742,0,2,1,6,0.024274833166849863
Other group discussions,policy,paired,p,hongkong_2020,0,0,1,1,6,-0.004177749011449172
Other group discussions,policy,paired,p_absolute,hongkong_2020,0.016666666666666663,0.5,2,1,6,0.025663371889145786
Other group discussions,policy,paired,d_combined,oboe_2010,-0.0044265523169805246,0.4332493702770781,397,1,1,-0.01444444444444444
Other group discussions,policy,paired,d_education,oboe_2010,0.0025259411645881737,0.44608171466845276,1493,1,2,0.004238654863654866
Other group discussions,policy,paired,d_gender,oboe_2010,0.005135694628728641,0.4324045407636739,969,1,5,-0.01443392019061189
Other group discussions,policy,paired,h,oboe_2010,0.008476485300053646,0.4434692823954569,1937,1,6,0.0074493944109680155
Other group discussions,policy,paired,p,oboe_2010,-0.019434724720028523,0.39299397920087575,1827,1,6,-9.386282247777512e-4
Other group discussions,policy,paired,p_absolute,oboe_2010,0.027521170015505362,0.4874118831822759,1986,1,6,0.02385428799767267
Other group discussions,policy,paired,d_income,oboe_2010,0.005872601956888649,0.4407806191117093,1486,1,1,-0.01680143755615453
Other group discussions,policy,paired,d_education,shizuoka_2019,0.027089947089947095,0.52,75,1,2,-0.008043348099024595
Other group discussions,policy,paired,d_gender,shizuoka_2019,-0.0046383319409635144,0.40350877192982454,57,1,5,-0.01247911487667346
Other group discussions,policy,paired,h,shizuoka_2019,0.007736137684510636,0.4875,80,1,6,0.007572785680225185
Other group discussions,policy,paired,p,shizuoka_2019,-0.014448514448514442,0.41025641025641024,78,1,6,-0.0017696632700300982
Other group discussions,policy,paired,p_absolute,shizuoka_2019,0.009188988095238111,0.4375,80,1,6,0.026909651651050543
New DPs,policy,paired,d_gender,tanzania_2015,-0.005371478403393306,0.46034816247582205,517,1,1,0.004103222169032152
New DPs,policy,paired,h,tanzania_2015,-0.005110639111677843,0.4780952380952381,525,1,1,0.032159264141085595
New DPs,policy,paired,p,tanzania_2015,-0.03830942401615479,0.37115384615384617,520,1,1,0.019220831530223192
New DPs,policy,paired,p_absolute,tanzania_2015,-0.007626856212570503,0.43047619047619046,525,1,1,0.04321033034844125
Other group discussions,affect,paired,d_combined,whatsapp,0.0178571428571429,0.3861003861003861,259,1,0,NA
Other group discussions,affect,paired,d_education,whatsapp,-0.0032327586206897067,0.3413793103448276,580,1,0,NA
Other group discussions,affect,paired,h,whatsapp,0.01339217388610886,0.3306060606060606,3300,1,1,0.01854084220662232
Other group discussions,affect,paired,p,whatsapp,-0.08014511873350902,0.17979645684131174,2653,1,1,-0.015200320512820498
Other group discussions,affect,paired,p_absolute,whatsapp,0.0014124293785310175,0.3112994350282486,3540,1,1,0.01060090702947846
